county,cnty_fips,c_tot_pop_c,c_tot_death_c,c_tot_lfex_c,c_tot_low_c,c_tot_up_c,c_tot_pop_h,c_tot_death_h,c_tot_lfex_h,c_tot_low_h,c_tot_up_h,c_tot_pop_b,c_tot_death_b,c_tot_lfex_b,c_tot_low_b,c_tot_up_b,c_tot_pop_w,c_tot_death_w,c_tot_lfex_w,c_tot_low_w,c_tot_up_w,c_fem_pop_c,c_fem_death_c,c_fem_lfex_c,c_fem_low_c,c_fem_up_c,c_fem_pop_h,c_fem_death_h,c_fem_lfex_h,c_fem_low_h,c_fem_up_h,c_fem_pop_b,c_fem_death_b,c_fem_lfex_b,c_fem_low_b,c_fem_up_b,c_fem_pop_w,c_fem_death_w,c_fem_lfex_w,c_fem_low_w,c_fem_up_w,c_mal_pop_c,c_mal_death_c,c_mal_lfex_c,c_mal_low_c,c_mal_up_c,c_mal_pop_h,c_mal_death_h,c_mal_lfex_h,c_mal_low_h,c_mal_up_h,c_mal_pop_b,c_mal_death_b,c_mal_lfex_b,c_mal_low_b,c_mal_up_b,c_mal_pop_w,c_mal_death_w,c_mal_lfex_w,c_mal_low_w,c_mal_up_w
Cameron,48061,389650.44,22921,81.2,81.03,81.37000000000001,348609.66,16865,80.68000000000001,80.5,80.86,,,,,,39594.602,5968,81.14,80.61,81.67,200855.34,10871,84.2,83.97,84.42,180268.75,8168,83.55,83.3,83.79000000000001,,,,,,19911.15,2654,84.86,84.11,85.59,188795.09,12050,78,77.75,78.25,168340.91,8697,77.47,77.2,77.74,,,,,,19683.449,3314,77.89,77.16,78.61
Camp,48063,11621.1,1425,73.92,73.03,74.83,,,,,,,,,,,7048.25,1087,73.96000000000001,72.81,75.12000000000001,5952.7998,692,77.40000000000001,76.2,78.54000000000001,,,,,,,,,,,3659.3501,530,77.59,76.16,79.10000000000001,5668.2998,733,70.61,69.34,71.88,,,,,,,,,,,3388.8999,557,70.67,68.95,72.36
Carson,48065,5359,660,76.74,75.56,77.94,,,,,,,,,,,4948.6001,647,76.29000000000001,75.01000000000001,77.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass,48067,28437.949,3826,75.06,74.53,75.60000000000001,,,,,,5102.9502,629,72.96000000000001,71.63,74.29000000000001,22570.051,3172,75.33,74.72,75.93000000000001,14687.2,1944,77.96000000000001,77.24,78.67,,,,,,,,,,,11519.25,1582,78.44,77.65000000000001,79.25,13750.75,1882,72.17,71.38,72.96000000000001,,,,,,,,,,,11050.8,1590,72.35000000000001,71.48,73.25
Castro,48069,7341.1499,597,77.75,76.61,78.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,48071,32412.9,2270,77.36,76.81,77.91,,,,,,,,,,,23631.85,1909,77.05,76.46000000000001,77.65000000000001,16191.65,1064,79.69,78.94,80.40000000000001,,,,,,,,,,,11909.95,896,79.5,78.68000000000001,80.28,16221.25,1206,75.16,74.37000000000001,75.95,,,,,,,,,,,11721.9,1013,74.75,73.88,75.65000000000001
Cherokee,48073,47621.699,4934,76.18000000000001,75.72,76.63,,,,,,7139.6499,718,72.05,70.78,73.32000000000001,30492.85,4048,75.8,75.25,76.37000000000001,23899.75,2427,79.57000000000001,78.92,80.2,,,,,,,,,,,15824.05,2027,79.03,78.25,79.82000000000001,23721.949,2507,72.86,72.25,73.49,,,,,,,,,,,14668.8,2021,72.58,71.81,73.36
Childress,48075,6258.5,755,77.01000000000001,75.88,78.12000000000001,,,,,,,,,,,3839.5,680,74.82000000000001,73.54000000000001,76.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,48077,9357.75,1123,76.37000000000001,75.41,77.32000000000001,,,,,,,,,,,8982.299800000001,1112,76.23,75.25,77.18000000000001,4772.6001,558,78.95,77.67,80.24,,,,,,,,,,,4584.6499,552,78.92,77.63,80.23,4585.1499,565,73.78,72.46000000000001,75.10000000000001,,,,,,,,,,,4397.6499,560,73.65000000000001,72.26000000000001,75.04000000000001
Coke,48081,2811,528,75.03,73.11,76.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
